,LF-delta,LF-theta,LF-alpha,LF-beta,LF-gamma,LF-broadband,LC-delta,LC-theta,LC-alpha,LC-beta,LC-gamma,LC-broadband,LP-delta,LP-theta,LP-alpha,LP-beta,LP-gamma,LP-broadband,LO-delta,LO-theta,LO-alpha,LO-beta,LO-gamma,LO-broadband,RF-delta,RF-theta,RF-alpha,RF-beta,RF-gamma,RF-broadband,RC-delta,RC-theta,RC-alpha,RC-beta,RC-gamma,RC-broadband,RP-delta,RP-theta,RP-alpha,RP-beta,RP-gamma,RP-broadband,RO-delta,RO-theta,RO-alpha,RO-beta,RO-gamma,RO-broadband,FZ-delta,FZ-theta,FZ-alpha,FZ-beta,FZ-gamma,FZ-broadband,CZ-delta,CZ-theta,CZ-alpha,CZ-beta,CZ-gamma,CZ-broadband,PZ-delta,PZ-theta,PZ-alpha,PZ-beta,PZ-gamma,PZ-broadband,OZ-delta,OZ-theta,OZ-alpha,OZ-beta,OZ-gamma,OZ-broadband,all-delta,all-theta,all-alpha,all-beta,all-gamma,all-broadband
41-induction2,-80.64793062994141,-81.99017488520019,-86.81543633731341,-94.62781315603532,-100.05343509515647,-92.54122887925053,-83.92398328998124,-84.66270112530334,-87.39348346400288,-94.59033951900489,-101.6507470948258,-93.5763563451874,-85.75096837187564,-86.05499381448001,-88.01811732569342,-94.66394420534928,-102.02378302418455,-94.0871285996582,-87.14422868247215,-86.59599422634278,-88.14699998060222,-93.77791330623562,-99.4377431860587,-93.24821907326242,-81.01774654462965,-82.28763489613269,-86.64002150084616,-94.36976795332892,-99.89158179917956,-92.43383132295376,-83.56856922385825,-84.38892220547399,-87.2136376167351,-94.56817721903704,-101.4999020610389,-93.44776816843311,-85.08804736877786,-85.4470393957819,-87.53971031819992,-94.41929136326938,-102.26226987173509,-93.86172828968094,-85.82990622790355,-85.27542234959836,-86.87430794518619,-93.68589363817227,-101.37659967606147,-93.30076570846173,-80.37347077922314,-81.61065257478462,-85.75949890842404,-93.94559968887312,-99.89738225257922,-92.02422764938088,-83.05658412938803,-83.50255551505238,-85.45133798907791,-92.63148208621011,-101.31664639152744,-92.21437630002823,-84.10735517928546,-83.8867124544052,-85.47902826190241,-92.44336889848675,-101.51962997221678,-92.32673308693252,-89.82555143812624,-89.45922916935922,-91.11433319686591,-95.90681716339896,-99.72239202856744,-95.12857711110654,-83.94985989388533,-84.52478014566952,-87.32005352212366,-94.38175580797194,-101.13818071681968,-93.33580464896012
41-induction3,-80.52155575295583,-81.7723328469223,-86.13429978625385,-93.49990333178572,-98.60560713481144,-91.56917712161965,-84.08898302905311,-84.68156692071243,-87.01192653030938,-93.8248410723414,-100.85997892405187,-93.01442086157412,-85.81527656342683,-85.81806139756354,-87.33518570557982,-93.67484602990096,-101.61639165920334,-93.45463099491327,-87.0027045805447,-85.63547058448778,-86.48631585103942,-92.68699422109634,-99.91352263910107,-92.5999771608758,-81.16776543635613,-82.30054098543843,-86.31616751488411,-93.64511013935268,-99.32755630386,-91.95063603234158,-83.83757357483302,-84.41014080142025,-86.7281588237721,-93.7598040325168,-101.15112686703178,-92.97728085139306,-85.20546271460933,-85.08855721933227,-86.53238129471838,-93.28981341895114,-101.89753475143912,-93.1374398492538,-85.66382046943943,-83.94609917370039,-84.67807808787481,-92.0754959207856,-101.3512151491681,-92.20057672474702,-80.10352893225101,-81.30188362111335,-85.37195584023483,-93.01851986484772,-98.64908391788852,-91.19834175801353,-83.06218259295699,-83.18688025931122,-84.5319699011942,-91.39145492869092,-100.65876935164856,-91.3689503311693,-84.08772132997254,-83.1501045126401,-83.97132698820195,-90.84649096440154,-100.97160109472792,-91.24473649074412,-89.81476405423984,-88.59171651776583,-89.5463130739896,-95.1529945096132,-100.2696150031238,-94.6815306447064,-84.01104946615848,-84.24116280152239,-86.53177796809399,-93.39301951400488,-100.617198566063,-92.65955744639544
41-induction4,-85.6460389438511,-86.80880698554583,-89.76431702382258,-97.09261670711564,-102.8227497492504,-95.6192812508366,-86.18209788514093,-87.0802401976388,-89.325588507149,-96.66183621082646,-103.46091291951026,-95.62184718374236,-86.99995891780611,-87.8010890957248,-89.95293258141207,-97.08148070138512,-104.61226426732972,-96.31513044195005,-88.61829260994858,-89.40988226998869,-91.67333505881427,-97.67954593129024,-104.00441518348016,-96.9270504588258,-85.22659199739944,-86.40764448293581,-89.36637908143257,-96.0225609127666,-100.9611786274005,-94.55050862377188,-85.70641148826905,-86.7417120565587,-89.18721900907804,-96.38394628090867,-103.07839225313384,-95.30590814508297,-86.33467676018887,-87.29718268616487,-89.56841256195133,-96.59327075600146,-104.2738061232934,-95.8554505718545,-86.98314369133615,-87.87080700562035,-90.29257241373077,-96.72118009257738,-103.94736343874368,-96.02602421241446,-84.50961225427753,-85.69867856948846,-88.651804485816,-96.20030307878316,-102.3499819518228,-94.76364140436633,-84.26646653530858,-85.31638724167377,-87.66617166498787,-94.85345677810037,-102.97351761643228,-94.15233749845028,-85.32752944847752,-86.25748245195277,-88.45146753441477,-95.21852332072532,-103.74775439825493,-94.78892203737465,-91.20717258297526,-92.1262854201322,-94.57916891360826,-99.7556335919595,-104.11606802359724,-98.71031481395266,-86.30247304729022,-87.28476052235753,-89.74820248505678,-96.7077900749888,-103.3721651460498,-95.69509042572786
41-experience1,-81.36036908032142,-82.72308868256744,-87.24878688924125,-95.06798958948193,-100.64989541985798,-93.0762936354444,-83.91127879274222,-84.79041500589858,-87.66835744536344,-95.3689046607296,-102.51361560105792,-94.18141612199322,-85.74903015692496,-86.37487483093643,-88.70066131496657,-95.97119135690367,-103.28985636685783,-95.0919568326039,-87.34960459883438,-87.47773948121926,-89.51681951229796,-95.74371697365352,-101.44140791436269,-94.87944097596991,-81.47758822045395,-82.78905338353687,-87.04645413949264,-94.72247144885084,-99.9861441954982,-92.7529577752058,-83.64658240678511,-84.60730725274273,-87.59542980916257,-95.2317089568674,-102.1337531216178,-93.97263925786382,-85.0769858769786,-85.72348807570776,-88.13160850786392,-95.4647128711822,-102.89651746413584,-94.57645840412096,-85.88164553834515,-85.92927342521882,-88.01498712993134,-95.07987633510668,-102.03233450434908,-94.27661858623485,-80.78549422675027,-82.08384854993514,-86.13306142938069,-94.52708445232302,-100.43062902903492,-92.54508568141073,-82.9416215297019,-83.75035913722093,-86.12303364287027,-93.76759229281916,-101.70160377398444,-92.90231890624403,-84.2728141093571,-84.65223608995794,-86.74351005425146,-94.0547056688618,-102.27196381006732,-93.4594645288613,-89.42418445830663,-89.7426202655579,-92.10655739839162,-97.32751188238268,-100.8826730906661,-96.14538483196436,-84.10030187160478,-84.9249246368235,-87.91397627707092,-95.3170278003485,-101.9074418012876,-94.06344323902864
41-experience2,-81.6291108815372,-83.00432125337093,-87.24304097152859,-94.85359165153804,-99.5232633059925,-92.75257938033393,-83.86572410480596,-84.86605153987001,-87.71900508455258,-94.59956023283831,-99.42601855847334,-93.07138481731845,-85.3027836488605,-86.02022130503173,-88.39441116626851,-94.61601108691396,-99.3948655768862,-93.39766299534892,-86.50336645178426,-86.5048057021881,-88.12528699181371,-92.10811526954434,-95.08740679903222,-91.3338494856316,-81.7325509836405,-83.09010323157239,-87.14552345683931,-94.82758647899146,-99.79300910629073,-92.81748395932404,-83.49825613266907,-84.58509646627414,-87.58647626892203,-95.02516417867432,-100.88354190857412,-93.54919224433353,-84.76131253552992,-85.53318498154609,-88.0327198014744,-95.24647458186584,-101.29793171464968,-94.0181182223571,-85.30199132092314,-85.45636828797578,-87.57773927913753,-94.01329271247386,-98.96944719959116,-92.88195340931466,-81.09963652514686,-82.40710699576232,-86.2572695870723,-94.73314237532276,-100.5014951713215,-92.73168917252376,-82.48405996527907,-83.32187396969186,-85.85156131602521,-93.4561183017238,-100.1227476542612,-92.2516896744406,-83.64739078110225,-84.04329003461528,-86.14404329134187,-93.19167643504925,-99.3543972846728,-92.15832612764628,-89.14796524610534,-89.11956153365898,-90.50009269078816,-93.11395974584536,-94.6725545570225,-92.4461824719413,-83.92573386304846,-84.80708812412904,-87.70134666645569,-94.53901481116904,-99.58713327071776,-93.08275684806884
41-experience3,-80.57827102909211,-81.82532332313403,-86.2553729687275,-93.10241970866204,-97.10558618683656,-91.0383821477024,-84.22359222805076,-84.941856868788,-87.55526962698872,-94.02619628475932,-99.725018279142,-92.91511477030994,-85.97398200294862,-86.177514198705,-87.93137162582815,-94.18360548536856,-100.90656039787464,-93.61754935063269,-87.42864191531723,-86.24737158797802,-87.28480861937106,-92.81561036481015,-98.43420724754122,-92.4716586883165,-81.36799803904222,-82.51182778862804,-86.530335487472,-93.5976873284035,-98.4570071087288,-91.774227206478,-83.98690660149349,-84.69591626929183,-87.23955522597518,-94.02660708623318,-100.42684421692572,-93.01092205271244,-85.24443752225429,-85.38376543149704,-87.07430018015668,-93.86570467540056,-101.51571030264748,-93.38874499298292,-86.05362321204794,-84.52716815481776,-85.52931212937277,-92.66399245757756,-100.74291689143168,-92.49553617839167,-80.4040718081711,-81.5945598589192,-85.58522338535852,-93.0047069205912,-97.76824828577978,-91.05256569095586,-82.85609208813533,-83.22030501646272,-84.8018608378743,-91.91552695767712,-100.3092620532683,-91.52712843851904,-84.20503026148742,-83.62788649029585,-84.72368524528444,-91.65798679807314,-100.59439274330248,-91.6503524446653,-90.11595099996654,-88.99528501952156,-90.07189251439968,-94.7842972304939,-98.58610551339352,-94.21777298545942,-84.16604047996864,-84.53746002092987,-87.0079715465188,-93.62678640512668,-99.74703280164606,-92.63995928746029
41-experience4,-86.54089267377681,-87.66848890633004,-90.12784776263854,-95.72848177521402,-99.0307892123332,-94.26923703620416,-87.07575314478362,-87.8323714842629,-89.67994265593543,-95.73267473110852,-100.4916754621886,-94.66142922304418,-87.95424174803027,-88.61558987540842,-90.41908731906284,-96.85280382601591,-103.11116355171067,-96.060444503885,-89.47849163860599,-90.27376291449984,-92.3297599601932,-97.57723457836371,-102.45413461182716,-96.73149066455036,-86.44036916528572,-87.58058209478759,-89.99853835018601,-95.66237028354728,-99.82532810547472,-94.40634761499088,-86.7851350141197,-87.61852188082835,-89.56858028757031,-96.17154237840326,-102.29407465935688,-95.24793645337252,-87.36917212810121,-88.06054244701775,-89.92960429857867,-96.52612017096592,-103.64474797744568,-95.88387295866583,-88.07655907810638,-88.91113172489267,-91.06668511499068,-96.9574206694658,-103.18666926359678,-96.23294420895778,-85.45877554955247,-86.62530065757383,-89.08224290097925,-96.47866212665524,-101.9940439833789,-95.03054086365016,-85.40591273362017,-86.27641390186892,-88.23125473080358,-94.87915931086704,-102.40180652550885,-94.28743145789664,-86.42690371393202,-87.19394568682458,-89.13140342551031,-95.36839217411062,-103.06824435318458,-94.95806284927262,-91.99384512927294,-92.90289214112576,-95.12912513716772,-99.57285219741198,-102.7521183298016,-98.49839931204244,-87.30622875811284,-88.16265905255135,-90.2181882250282,-96.35378546616724,-101.8476568834424,-95.38982528420507
42-baseline1,-82.54863394730387,-82.85614066143313,-84.36598775226011,-90.14801051336914,-93.00406789874287,-88.79469794180156,-83.0764903439033,-83.00862221644783,-83.7000199894039,-88.78040938832159,-91.99246171604568,-87.92781290873164,-83.11067868799532,-82.84667469091579,-83.48599458660814,-89.77116268543622,-93.81549154629408,-88.79523089157175,-82.46688313385314,-81.82337028773573,-82.36187779649799,-90.233228347329,-95.18995616079955,-89.06765491830663,-82.2137136805527,-82.42472786181659,-83.69290086218899,-90.07188022115734,-93.2337337013366,-88.6739137653108,-83.04852453231462,-82.94324443808833,-83.57844966658624,-89.17243084580919,-92.53670360496184,-88.21879164555352,-83.34217522175018,-82.97771648261329,-83.59096632365336,-90.38765373650511,-94.5161289537938,-89.29456222267743,-82.78542935359954,-81.99620139718112,-82.41079306655523,-90.4493379209308,-95.58341192360896,-89.31729742705468,-81.49820467444121,-81.78103720107657,-83.26718517063327,-90.17576392859792,-93.71709617170984,-88.66301051541163,-81.54903363091023,-81.42223761415752,-82.18993904172811,-89.82831367601321,-94.5790828137752,-88.58363288632931,-81.79152576040227,-81.27922653260526,-81.92604950590784,-89.87773369786524,-95.11616475505404,-88.7237015326944,-85.35626240812715,-84.64182828750123,-85.04280238227277,-91.56643264479229,-95.62010101252994,-90.61400925107912,-82.86534370255333,-82.706596904842,-83.52837219825054,-89.88172570801312,-93.6483083986912,-88.7688849488433
42-baseline2,-82.19739913797491,-82.80506463392527,-85.09010058610811,-91.844814550007,-95.32042694429268,-90.16952971937714,-83.70848535107008,-83.93502867753628,-85.05184860673782,-91.4830749928344,-95.4330952770187,-90.29519382956455,-84.31373507313377,-84.34162902178016,-85.21172726328467,-92.08415246932536,-96.60085059480966,-90.97479039571868,-83.67476371145642,-83.21315695788897,-83.80461521095991,-91.7391561091939,-97.0293336582998,-90.60920725174272,-81.90567272842219,-82.41138265852028,-84.4745447701928,-91.69097749605612,-95.45989630173082,-90.0050739643715,-83.57478877993002,-83.71042429129996,-84.68811118292064,-91.9531194545409,-96.57800582960348,-90.72073763735936,-84.08141970498122,-83.91080789187498,-84.68287453224136,-92.42673777352272,-97.75703956388428,-91.29880210196606,-83.39949871466047,-82.6264612336706,-83.10133352356895,-91.82409667576492,-98.04023623948056,-90.74363191115437,-81.17148303762045,-81.75194272642649,-84.01930924190219,-91.56425476022184,-95.53107420987196,-89.78095669516274,-82.27491406321762,-82.35188183821529,-83.27183522157976,-91.36908498134748,-96.95120340134125,-90.14375220424292,-82.52095272460392,-82.21280377673281,-82.93206319010878,-91.3255722278752,-97.51782859676962,-90.2425466208808,-85.92949122870844,-85.23113689965908,-85.66839513421003,-92.80561436411917,-97.41896117128934,-91.80016908293372,-83.36464874007478,-83.4468961097572,-84.64356608050399,-91.90885636399148,-96.46041371489822,-90.61959988555432
42-induction1,-82.71057460010029,-83.02378233195196,-84.4383947311154,-88.83778455027465,-90.83501250800468,-87.70303134094152,-83.59113365525444,-83.43637920939031,-83.89305139624307,-87.45482014833499,-89.62307558957669,-86.8524943902337,-83.58463497047973,-83.27765611433674,-83.78599427742864,-88.75717254814884,-91.62013852329942,-87.91059081371635,-82.56783737341812,-81.95385408721128,-82.466756559179,-89.46131278130471,-93.35596333304356,-88.29542638682885,-82.56747494230225,-82.78026713549164,-83.98260581956333,-89.28558352609626,-91.64689380576938,-88.02327082792138,-83.38107796829749,-83.27215943561966,-83.794325759869,-88.24625486950538,-90.81473035470307,-87.45925359633182,-83.5431496893334,-83.2113419513718,-83.80829697555062,-89.64156584783282,-92.84355060408528,-88.60587114417167,-82.6731759861977,-81.92067312341442,-82.37451201374647,-89.63732740063045,-93.75983206476118,-88.47359145880986,-81.86074618165338,-82.1544302224342,-83.56865696687152,-89.49383334760023,-92.1599773210842,-88.07060267378706,-81.91168178555839,-81.79889688939971,-82.51913649619274,-88.99029935073439,-92.55550290823577,-87.8074819520045,-81.92951891055885,-81.46736261441916,-82.10795788723821,-89.04600154473763,-93.14812371302068,-87.90821556460872,-85.12984427234872,-84.47686645942906,-84.91258599227423,-90.69099862988458,-93.91810249907618,-89.7424046806223,-83.15314382078998,-82.98974813918942,-83.72526489576987,-88.92462167538903,-91.7303821270514,-87.93549097126285
42-induction2,-82.28963776333256,-82.75088885153653,-84.46315015357453,-92.52724969169576,-97.0407475630465,-90.84781692886908,-83.10783097097465,-83.20201213677822,-84.16992470781739,-92.5175575732185,-97.98179282401102,-91.17632589550809,-83.19829503801674,-83.02190250684376,-83.79671853069195,-92.7529921081134,-99.17846268482316,-91.53515372741208,-82.14944248448896,-81.47952879333299,-82.0036289478567,-92.0947418219072,-99.79979941776746,-90.95584369686796,-81.92634229841553,-82.30057268737241,-83.82666815385831,-92.6244678896841,-97.68449631766713,-90.90749294373924,-82.862642162902,-82.95377245326719,-83.91231762851461,-92.3485923142635,-97.98986823726662,-91.0272068252036,-83.24047604243412,-82.93035811325231,-83.63892959222173,-92.64970869359878,-99.05566541234096,-91.43726163999553,-82.22811443860883,-81.40504287960053,-81.83125120707597,-92.35717314559604,-100.3060621309962,-91.1836843007958,-81.58418734818237,-81.94630286015718,-83.38151588118598,-92.21073476271305,-97.56060802731974,-90.57618325900334,-81.51584650835849,-81.48840658101659,-82.35447482501522,-91.83541404901766,-98.97185244474475,-90.60477222468316,-81.49852504555444,-80.99511755129257,-81.64734720610934,-91.66851016596333,-99.58578124434976,-90.5613738660666,-84.93490742886644,-84.17303141766092,-84.61473736831357,-93.9043636803108,-100.88386572915762,-92.85019770991336,-82.72255049002754,-82.66666874193493,-83.6515694927796,-92.53996559272598,-98.55514544893472,-91.18584975143456
42-induction3,-81.94006578997094,-82.42504746950179,-84.15572239892077,-92.14059180644338,-96.05484045638482,-90.32905999283508,-82.78705941956721,-82.90880421687301,-83.80508887536206,-90.92899688512648,-94.6155402614772,-89.52202891485645,-82.73950353086525,-82.62024687115667,-83.40066275030182,-92.11287292688932,-97.9328470767078,-90.81004590150953,-81.67685040067337,-81.14250678357881,-81.70721707664899,-91.95160813308723,-99.75291731128192,-90.76911041379984,-81.71927778276861,-82.11574699239699,-83.6347431176132,-92.40868758370088,-97.3804935306342,-90.6760095846018,-82.69881392881673,-82.81934195105978,-83.72574186068294,-92.1490553441864,-97.59095348613316,-90.7892030504731,-82.97436670936362,-82.7519049942935,-83.4978617204559,-92.7877456554042,-99.54790210489246,-91.5638744135663,-82.17581041715316,-81.4668950148873,-81.97312025080167,-92.20468603183112,-100.36175145060818,-91.14412914526024,-81.08128570999608,-81.51014948954042,-83.10742327513884,-92.25381504623472,-97.6747778948176,-90.50279709197756,-81.15519692144525,-81.15604973959853,-82.02431012732575,-91.43124467906382,-98.32890027375342,-90.15984085285405,-81.20027025689046,-80.7635634534993,-81.45006620331502,-91.44373368541272,-99.41388515248606,-90.34454143792772,-84.75909713419072,-84.13827754018976,-84.61370061567887,-93.77322971407582,-100.9436119063172,-92.78496387691936,-82.4206052185406,-82.42066817432215,-83.41203579862554,-92.13726511864468,-97.81055112253216,-90.73973800317198
42-induction4,-81.89496920979173,-82.43391623092639,-84.24220203760544,-92.40697341348336,-96.68894079949982,-90.6124819837748,-82.7776523992496,-83.03441806017548,-84.07625725244233,-91.58080376747668,-95.86569665394994,-90.16661863003873,-83.29803566484833,-83.32969019449916,-84.20088390729804,-92.38157461657774,-97.8077509974999,-91.1065073034995,-82.56460688955784,-82.12186972137988,-82.73313084225609,-92.1170163386146,-98.98301095808714,-90.94037083721771,-81.45354278887197,-81.93325592034896,-83.58527591930037,-92.21163388979213,-96.961691643497,-90.43286562413284,-82.59535070350694,-82.80292104192927,-83.7405771631106,-92.09392590488072,-97.2677762389137,-90.67309560777944,-83.16091610118261,-83.07660604943214,-83.84784748528888,-92.65000442340173,-98.65732106134718,-91.36536921945792,-82.65000938897833,-82.00629299555196,-82.47908384480985,-92.45941867865378,-99.9799270068842,-91.31525878004928,-80.82683761716687,-81.38076032644557,-83.16077079696448,-92.13835482345593,-97.26405093187913,-90.31510927758264,-81.29242535580978,-81.4294601126853,-82.35930130167219,-91.62652144186868,-98.17619218427964,-90.28410137192756,-81.60810841972867,-81.34637084137606,-82.0666531239033,-91.66468676675916,-99.04344346499929,-90.51208314979225,-85.21327683713952,-84.62333338373179,-85.08560710199012,-93.74911961080984,-100.10054376601664,-92.70446149865472,-82.57067189972952,-82.6806863232863,-83.74643813416473,-92.26202837173884,-97.6734100217368,-90.83604490843474
42-experience1,-81.97346551027346,-82.3353556567238,-83.78501193843584,-91.996274554432,-96.19980139168322,-90.2576572079585,-82.66732502475224,-82.77563385757654,-83.64253779022744,-92.3467830679826,-97.47422207032598,-90.83315756542927,-82.80532316777044,-82.70486948131973,-83.45889269316196,-93.04843319500944,-99.36314158104152,-91.60948886723985,-82.0489443034566,-81.57036627197402,-82.13711627201063,-92.44861097426222,-99.62925346367815,-91.08483098908164,-81.68283135603991,-81.95105380024131,-83.13464845042628,-92.5149894578352,-97.5437184710174,-90.69452823445091,-82.37399315400096,-82.42774562946198,-83.18630098058355,-93.02483835890985,-99.30416187761796,-91.48602170731856,-82.80320800737994,-82.57556664840361,-83.25847308561183,-93.4219454383729,-100.56383133556233,-92.04455805529793,-82.19913275123844,-81.48053072416627,-81.96358242091792,-92.62345733228136,-100.42204222185956,-91.35039094462375,-81.15977556105092,-81.4643277377323,-82.75621322932997,-92.67226566802424,-98.36981629607556,-90.8330052774411,-81.06094035062483,-81.0845134127348,-81.88580008199486,-92.04102150703392,-99.31821496465042,-90.6511388038633,-81.29173599398882,-80.9844301702513,-81.69878430959305,-92.03920744940132,-99.82072304971412,-90.77031916204244,-84.86253150593203,-84.3024176396055,-84.8406219881981,-93.90673479852192,-100.0884502992595,-92.6807003475233,-82.37678462726342,-82.3461216101403,-83.22173209563826,-92.75640195226995,-98.81147671623016,-91.2377138908832
42-experience2,-82.2773045755277,-82.67222185410134,-84.26755696849378,-92.38843119440864,-96.9559204710652,-90.73548249506248,-82.93863261996489,-83.05972452320322,-84.05675695586619,-92.55412015268728,-97.76824413590096,-91.09692651258794,-83.09277275511884,-83.0142289511817,-83.8671266429871,-92.98373851140512,-99.1304605458608,-91.62271030152624,-82.13019803571548,-81.64467243992374,-82.23570329849977,-92.35366225005,-99.42736787646258,-91.01704735905204,-82.12643369746088,-82.40467970801342,-83.69350376484886,-92.61967838115572,-97.4400737809178,-90.86133543378185,-82.81901326597168,-82.87248337399234,-83.76114006700118,-92.5145438968412,-97.95532720900928,-91.0656402265274,-83.2003406878939,-82.95817434039824,-83.718531725211,-92.66004145399748,-98.64040116491556,-91.34482362087806,-82.67141117744248,-82.01889979177804,-82.62368386700098,-92.67100824855224,-100.00711291237909,-91.43513142356542,-81.65222624462217,-81.93770764038733,-83.22300170970038,-92.43391923317805,-97.81107879384768,-90.72932691286304,-81.44251842729915,-81.48120855547694,-82.42864199913765,-91.98455467853202,-98.76705104385393,-90.62004926449424,-81.68542206648397,-81.36751746557424,-82.16045710842494,-92.04193356089534,-99.34556183579063,-90.77660022539888,-85.05098792125355,-84.55871018354814,-85.21285845881997,-94.1263298690937,-100.39705620849908,-92.9383681495791,-82.72772605209317,-82.70897368350819,-83.68801991169734,-92.64899326178454,-98.36798718223268,-91.19651572809109
42-experience3,-82.1687683545425,-82.64824005619963,-84.22439256978683,-90.5650703045776,-93.33291784615524,-88.99165119665162,-83.26732242336973,-83.42352235192246,-84.19468857895228,-89.79889323246019,-92.63721604412964,-88.65735930106396,-83.73012523120303,-83.71559850490623,-84.41282260535603,-90.55007641902012,-93.9628282309738,-89.42409608044903,-82.79804283405798,-82.31301463313434,-82.82732580596416,-90.48611711136203,-95.04647604004457,-89.27421003743973,-81.95296413398708,-82.34998155972491,-83.78774146888463,-90.69928240156996,-93.97910871275812,-89.11852297515567,-83.000395584747,-83.11098538394543,-83.83859560167876,-90.37174945817236,-93.89117698134832,-89.13507915855176,-83.31154156474159,-83.1079986617398,-83.70333797383346,-90.7036433346929,-94.80194203254776,-89.52941282878024,-82.56554225661736,-81.80773811299878,-82.21071416496903,-90.4027820925734,-95.29018685264688,-89.16219810827826,-81.22760316779423,-81.69745220865207,-83.30320654680159,-90.61518806130422,-94.1543096646281,-88.93823823606871,-81.69178697667179,-81.77827798671608,-82.60257751900403,-90.21854955990447,-94.63348635779114,-88.86398313964399,-81.8092873296404,-81.482341254815,-82.122930859834,-90.1156990967629,-95.11393225565487,-88.87200360188595,-85.00828348032805,-84.31130939031719,-84.68018293924699,-91.42510421224672,-95.21685352609197,-90.34548785802323,-82.89181699064692,-82.91899803903131,-83.79929309302747,-90.4832519893779,-94.06740454636208,-89.19532534408114
42-experience4,-81.04020798547513,-81.77500496480776,-84.29988483943748,-92.22033592559352,-95.852405353332,-90.17376228382211,-82.47682802074112,-82.8939270172423,-84.30576762803697,-91.86372949862424,-96.17423059708878,-90.34988819025516,-83.39504154078267,-83.51878074832305,-84.53134640110858,-92.33271911771564,-97.23110582459476,-91.00201692814215,-82.7073859566862,-82.26746734481267,-82.90022074007949,-91.82744916572716,-97.55262522593628,-90.49801583521912,-80.52948552616645,-81.22441872889428,-83.59831006936403,-92.04551374720354,-96.21944097349588,-90.01056286205804,-82.40897897115933,-82.77028579900073,-84.0235048301513,-92.19215742547846,-97.01565638891586,-90.6606618987254,-83.29950995294416,-83.27405992954829,-84.14591187529109,-92.68401524786042,-98.2305739814368,-91.33739853267474,-82.66132280898168,-82.03793318173248,-82.56942252675542,-92.1882761315955,-98.63670696430636,-90.87076885204152,-79.99394745152223,-80.71449802521788,-83.19663409650931,-91.92743668040498,-96.27540441176778,-89.82670556644914,-81.51896627317362,-81.7230862213842,-82.7561641714546,-91.47683361974752,-97.25819548747756,-90.078945667357,-81.7441183501015,-81.53095082273575,-82.34009221280397,-91.58071345965924,-98.08040274610694,-90.2929378819375,-85.09238400207559,-84.52581078502722,-85.03473873269877,-93.0026391466877,-97.83738322606908,-91.7758267745069,-82.32381592743991,-82.55412012507594,-83.94235621403178,-92.1977511453153,-97.04498162502716,-90.63226264830344
43-baseline1,-84.42834543592019,-83.45311709779904,-83.71322265827224,-88.3350120751634,-93.66926101864183,-88.3275392076831,-85.99732921210114,-84.32876372663583,-83.90240839871984,-88.32181019424186,-94.5840513984168,-88.8136775707587,-86.22426562946733,-84.16402579192292,-83.70938559998979,-88.76161909464433,-95.59783193933411,-89.25195427956149,-85.31710407656092,-83.14270664906822,-82.68096702759674,-87.14435238910352,-92.05450287434958,-87.34266206900656,-83.91163326398441,-82.90334403359222,-83.0487079551059,-87.6374395012714,-93.2877741096277,-87.74515982824731,-85.08956826208757,-83.63775876282841,-83.37281986502528,-87.61882090107456,-93.1364050817522,-87.92258536491572,-85.65799121769182,-83.78684250539838,-83.43577222419825,-88.00973067941105,-93.68919109068722,-88.31473717313563,-86.07059821218239,-84.13351998715399,-83.6932308257499,-87.8315153329122,-92.91458311069265,-88.1425625799923,-83.55167243891277,-82.54889670076969,-82.72516327834202,-87.41385083245181,-93.4881592328136,-87.59084592460917,-84.2288181182071,-82.52279663168281,-82.17662996741383,-86.70865700980535,-93.57759435004871,-87.30611871365497,-84.65423912679384,-82.59239968099871,-82.15106415013577,-87.02891594101192,-93.75589816529262,-87.54175701057136,-89.18786395642786,-87.38306500474724,-86.74412091979366,-87.98547355843246,-89.22828921240772,-88.23204039249342,-85.37397446751396,-83.76385430974824,-83.51838659886579,-87.97594744053072,-93.70332941474764,-88.28063023953852
43-baseline2,-83.10140783863667,-82.06629165936772,-82.73288904634902,-88.26411684958114,-95.13782194836824,-88.2933669238389,-84.81393784276784,-82.99184366798347,-82.8341110823356,-87.9819949378226,-95.07786429451863,-88.42535305495852,-85.16597693137179,-82.77104257339343,-82.49584631739393,-88.11994206004329,-95.47128942931177,-88.56508286656333,-84.39855813248802,-81.58510974767444,-81.31235772006059,-86.2958013485341,-91.24757539376908,-86.37460701530492,-82.6707155949332,-81.68762662650757,-82.26359853621001,-87.65565216001104,-94.63531075015968,-87.76606523530998,-84.24237388432232,-82.63470498670142,-82.5768261578271,-87.59556194564999,-94.41060965850497,-87.96604579305382,-84.68835969067223,-82.40620282088457,-82.21781114779122,-87.56270916465783,-94.31996712159244,-87.91444827042893,-85.02229568375007,-82.57428620853294,-82.34055096935208,-86.85625190106147,-91.74818298807382,-87.01607238865962,-82.07639708199497,-81.07582725974436,-81.71336122992275,-87.19412095305947,-94.72236070915643,-87.4045031633321,-83.34137009893286,-81.24816574242557,-81.06253289016097,-86.33316590696204,-94.02317358242207,-86.92092492689036,-83.53697293180944,-80.95078104864054,-80.70637264938517,-86.45022536449265,-93.6476507171307,-86.83392675628787,-88.76061185081389,-86.84740650719597,-86.38266655794385,-87.25112226733125,-87.95715634825555,-87.45136259895831,-84.30503220146224,-82.46006648170071,-82.47298488994205,-87.61319487178935,-94.22675365595458,-87.90643446360436
